[2023-04-08 14:12:59,315] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:13:00,475] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:19:58,847] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:19:58,847] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:19:58,848] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:19:58,848] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:24:52,540] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:24:52,621] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2023-04-08 14:35:15,543] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2023-04-08 14:35:15,546] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2023-04-08 14:35:15,546] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2023-04-08 14:35:15,546] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2023-04-08 14:36:56,643] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2023-04-08 14:36:56,721] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
